[2025-09-15 09:07:53 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:54 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:07:54 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:07:55 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:07:55 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:08 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:08 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:09 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:09 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:09 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:09 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:40 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:40 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:40 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:40 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:08:41 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:08:41 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:09:50 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:09:50 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:09:50 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:09:50 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:09:51 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
[2025-09-15 09:09:51 : INFO] - Cache for author page URL: http://localhost/techloom/?author=1 associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2025-09-15 09:11:48 : INFO] - Cache for URL: http://localhost/techloom/?page_id=8 has been purged, triggered by action: save_post 
